name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Life Is Good (feat. Drake),0.676,0.609,-5.831,0,2,0.481,0.0706,0,0.152,0.508,142.037
WHATS POPPIN,0.923,0.604,-6.671,0,11,0.245,0.017,0,0.272,0.826,145.062
Let Her Go,0.712,0.803,-7.206,1,7,0.0276,0.00537,0.0000981,0.307,0.308,120.018
Sunday Best,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022
DÁKITI,0.726,0.815,-5.092,0,4,0.101,0.206,0,0.631,0.627,121.975
Say So,0.787,0.673,-4.583,0,11,0.159,0.264,0.00000335,0.0904,0.779,110.962
In Your Eyes,0.667,0.719,-5.371,0,7,0.0346,0.00285,0.000081,0.0736,0.717,100.021
Falling,0.785,0.431,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.085
Let It Go,0.769,0.796,-7.37,1,8,0.0564,0.0279,0.00000197,0.0871,0.681,122.039
death bed (coffee for your head),0.726,0.431,-8.765,0,8,0.135,0.731,0,0.696,0.348,144.026
That Way,0.719,0.611,-5.01,0,7,0.0403,0.0582,0,0.155,0.489,129.962
Baby I'm Yours,0.829,0.792,-3.755,0,2,0.0668,0.726,0.00000583,0.122,0.758,118.05
BOP,0.769,0.787,-3.909,1,11,0.367,0.189,0,0.129,0.836,126.77
OUT WEST (feat. Young Thug),0.802,0.591,-4.895,1,8,0.225,0.0104,0,0.196,0.309,139.864
Blinding Lights,0.513,0.796,-4.075,1,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017
When the Sun Goes Down,0.544,0.748,-5.556,1,5,0.0865,0.0646,0,0.519,0.391,123.752
Skechers,0.907,0.332,-9.828,1,1,0.0836,0.326,0.0168,0.109,0.277,99.998
ROXANNE,0.621,0.601,-5.616,0,6,0.148,0.0522,0,0.46,0.457,116.735
Shooting Stars,0.649,0.716,-6.232,1,11,0.0445,0.0879,0.03,0.0824,0.503,124.968
The Git Up,0.847,0.678,-8.635,1,9,0.109,0.0669,0,0.274,0.811,97.984
Payphone,0.721,0.707,-7.953,1,11,0.224,0.563,0.0000064,0.338,0.462,125.07
I Don't Care (with Justin Bieber),0.798,0.675,-5.041,1,6,0.0442,0.0912,0,0.0894,0.842,101.956
hot girl bummer,0.778,0.559,-7.109,0,6,0.0776,0.128,0,0.399,0.678,129.989
Demons,0.7,0.848,-5.473,1,8,0.217,0.317,0,0.349,0.29,124.056
Girls Like You (feat. Cardi B) - Cardi B Version,0.851,0.541,-6.825,1,0,0.0505,0.568,0,0.13,0.448,124.959
Without Me,0.752,0.488,-7.05,1,6,0.0705,0.297,0.00000911,0.0936,0.533,136.041
Plug Walk,0.876,0.519,-6.531,1,11,0.143,0.202,0,0.108,0.158,94.981
California Dreaming,0.717,0.865,-4.126,0,1,0.0307,0.0222,0.0012,0.605,0.487,124.048
Rockstar,0.771,0.826,-3.978,1,11,0.0604,0.142,0.03,0.145,0.185,100.012
Falling for U,0.516,0.358,-12.018,0,8,0.424,0.743,0.0000013,0.0813,0.397,79.509
Lovely,0.504,0.677,-6.954,0,4,0.064,0.316,0.00127,0.268,0.0375,128.078
The Less I Know The Better,0.64,0.74,-4.083,1,4,0.0284,0.0115,0.00678,0.167,0.785,116.879
Dandelions,0.609,0.692,-2.958,1,1,0.0259,0.0157,0,0.0864,0.454,116.959
Jimmy Cooks (feat. 21 Savage),0.529,0.673,-4.711,1,0,0.175,0.000307,0.00000241,0.093,0.366,165.921
Good Looking,0.377,0.558,-9.076,1,4,0.0299,0.0789,0.000342,0.125,0.267,149.971
INFERNO,0.82,0.611,-5.02,0,9,0.122,0.0766,0.000025,0.0684,0.637,127.883
